arm,feed,spearman,sp_far,sp_mid,sp_high,auroc,map10,rmse_high,n_high,n_queries
clf-pool,synth,0.9227857771626544,-0.09250909874181977,0.5523719821410518,0.8597394232583598,0.9701546009741328,0.9740675975323277,0.12158090008244628,1205,2410
reg-band,synth,0.9222378381201102,-0.08039987016665413,0.5685392829780218,0.8578138278211975,0.9658369609956242,0.9691008035302641,0.1078831105414292,1205,2410
reg-flat,synth,0.9254234782098568,-0.02984717213934539,0.5747961944043367,0.8689937482124032,0.9674599683290787,0.974019188127072,0.11409996523984989,1205,2410
reg-soft,synth,0.9247065893703915,-0.02794261617672797,0.5614207092334661,0.8626646949687092,0.9693511650698158,0.9729980899690442,0.11088118445954258,1205,2410
clf-pool,3Di,0.9240020429873189,0.48647119383052195,0.6128052411579191,0.8619997453242121,0.9894395539595274,0.49766790972980074,0.09716665935939366,1224,347
reg-band,3Di,0.9517489605039072,0.5584051141817755,0.7164271498515945,0.8563860340421172,0.992114093071048,0.5022595794641904,0.07574640463712985,1224,347
reg-flat,3Di,0.9493613275841714,0.5785175422892067,0.7061286643257492,0.8666322847045608,0.992727500238345,0.5109192241311082,0.07176369012042803,1224,347
reg-soft,3Di,0.9454168961843151,0.5398089505589307,0.6989483185539974,0.8589887892922626,0.9916858446061658,0.5100518767385277,0.07247498616773997,1224,347
clf-pool,SS,0.9465095519761834,0.6180152789598595,0.6969186761513949,0.8427414477934962,0.9789089876795548,0.4005185290259912,0.12328701630548218,1425,10002
reg-band,SS,0.956631133343702,0.7015563137310349,0.7293303556788246,0.8491732182518809,0.984719286890365,0.40023687409994274,0.06044333584864083,1425,10002
reg-flat,SS,0.9620967263232215,0.7124943027914249,0.7498182916582882,0.8618678504168645,0.9868649293135752,0.40746909995362984,0.05566339479918087,1425,10002
reg-soft,SS,0.9564610484803628,0.6645009749410805,0.7255697042860584,0.8524041389340477,0.9853637199795605,0.401666128524736,0.06211889764960931,1425,10002
clf-pool,AA,0.0444248608530895,0.02530798922099024,0.17767699855550004,,0.9955959262317644,0.8714285714285714,0.129438982983993,5,10
reg-band,AA,0.16846951179709757,0.1460658506328999,0.04403959793255983,,0.9996146435452794,0.9666666666666667,0.11543508601077361,5,10
reg-flat,AA,0.18973811959025122,0.1665404563921514,0.15489789617658978,,0.9998898981557941,0.9500000000000001,0.10351591130604765,5,10
reg-soft,AA,0.1734246379215949,0.15169804190114952,0.00607442730104273,,0.9996696944673823,0.9444444444444443,0.11541703571166882,5,10
