method,feed,seed,spearman,auroc,map10,rmse_high,n_pairs,n_queries,spearman_far,n_far,spearman_mid,n_mid,spearman_high,n_high
SNNEED,synth,0,0.9258641352153656,0.9688458683714839,0.9739695712309822,0.11136399223405351,3648,2410,0.0035485595281419544,848,0.581933418558236,1595,0.8611422765938845,1205
SNNEED,3Di,0,0.9601742676063716,0.9912236099193864,0.48341282366292654,0.06413432483281147,3692,347,0.6650888892411381,1200,0.7111850948004876,1268,0.8793014283480518,1224
SNNEED,SS,0,0.9731206821971707,0.9912707204905468,0.414834356132049,0.05110911977801075,4000,10002,0.7812233391142779,1200,0.795410970904349,1375,0.8700840189426374,1425
SNNEED,AA,0,0.2567513726825447,1.0,1.0,0.1028717729245435,1216,10,0.24001988820673487,1200,-0.29157251045005134,11,,5
SNNEED,synth,1,0.9270653771765031,0.9681963710355441,0.9732892050319436,0.11493331278780501,3648,2410,-0.06472547980970131,848,0.5842733329533623,1595,0.8680451658741634,1205
SNNEED,3Di,1,0.9341729756762249,0.9941784250166842,0.517104902239474,0.06089945034571545,3692,347,0.4194844352040255,1200,0.6760756745678081,1268,0.8650997643002654,1224
SNNEED,SS,1,0.9616684644481198,0.9908074263328224,0.41866371389050483,0.05714464909236415,4000,10002,0.6592819221381406,1200,0.743072475257119,1375,0.8691162684379667,1425
SNNEED,AA,1,0.13276251504721384,1.0,0.9333333333333332,0.11935229091897971,1216,10,0.10313258963021199,1200,0.30523997187739754,11,,5
SNNEED,synth,2,0.9247200508087725,0.9660603672445448,0.9680438648488442,0.11771572252112719,3648,2410,-0.03786659380076488,848,0.5832803705506945,1595,0.8696267106049775,1205
SNNEED,3Di,2,0.9636714476896372,0.993864273153886,0.5433188986983416,0.07739364898447025,3692,347,0.6663148379104277,1200,0.7510668241596443,1268,0.878668801939998,1224
SNNEED,SS,2,0.9530636861890718,0.9805574518821326,0.3811239202934168,0.05938540402672014,4000,10002,0.7321267533015423,1200,0.70493936147136,1375,0.8470638473173828,1425
SNNEED,AA,2,0.15834181380943407,0.9986787778695293,0.85,0.11358101854478228,1216,10,0.13486515057904253,1200,0.15489789617658978,11,,5
ESM-2,synth,0,0.6693955924914545,0.8405307398732598,0.5877015411973918,,3648,2410,0.07524133808520077,848,0.24283974217395488,1595,0.5651150912592899,1205
ESM-2,3Di,0,0.6865798269232009,0.7782667159246194,0.28267948629980333,,3692,347,0.8328931828034448,1200,0.03658268377380352,1268,0.7086079729121075,1224
ESM-2,SS,0,0.8747876943603848,0.915104888434679,0.21765340773178193,,4000,10002,0.7935364700602275,1200,0.6444415127138747,1375,0.14837866974270353,1425
ESM-2,AA,0,0.16706295962725554,0.9988439306358381,0.8583333333333332,,1216,10,0.1534735507571137,1200,0.05922566618516668,11,,5
Dice,synth,0,0.9826018759079657,0.9981257314063554,1.0,,3648,2410,0.12198886537135392,848,0.9365588821704771,1595,0.9880378889644439,1205
Dice,3Di,0,0.7928540585655095,0.8266682821156556,0.2394015761924366,,3692,347,0.7702908604502793,1200,0.4911880921239269,1268,0.2819473443889839,1224
Dice,SS,0,0.6756707099409132,0.8173768012263669,0.02191079878947365,,4000,10002,0.5393001954081758,1200,0.2660859604721548,1375,-0.24039365289065182,1425
Dice,AA,0,0.47390072853968335,1.0,1.0,,1216,10,0.4610315181441807,1200,0.6894977168949772,11,,5
