arm,feed,spearman,auroc,map10,n_pairs,n_queries,spearman_far,n_far,spearman_mid,n_mid,spearman_high,n_high,rmse_high,rmse_all,seed
clf-pool,synth,0.9195004008844746,0.9662852455062563,0.9712930580254231,3648,2410,-0.10466541513910799,848,0.5448007404163236,1595,0.8527197330633056,1205,0.12312738381824885,0.18251410042606062,0
clf-pool,3Di,0.945144421691362,0.9854189177021431,0.49447060086709455,3692,347,0.6035891634128571,1200,0.6401634918479114,1268,0.8587597908410829,1224,0.10360563338382867,0.21884999051069776,0
clf-pool,SS,0.9609256763956578,0.9909720320218022,0.4182185301255446,4000,10002,0.6251169647647398,1200,0.7350448980925831,1375,0.8451092280222988,1425,0.10646295806551001,0.20806725327788045,0
clf-pool,AA,0.0011269729997166683,0.9996696944673823,0.8142857142857143,1216,10,-0.017486140256644127,1200,0.11845133237033335,11,,5,0.17516619298340733,0.3413393422212701,0
reg-band,synth,0.9229647206979557,0.9671130828533723,0.9740876309029837,3648,2410,-0.08838401595251387,848,0.5653564754601356,1595,0.855331860776689,1205,0.10567367596697147,0.14256449419773842,0
reg-band,3Di,0.9595305650270748,0.9902258715479709,0.4847773241541253,3692,347,0.652842197731226,1200,0.7161139362399532,1268,0.8560886053246999,1224,0.06542597668654815,0.17058295435470125,0
reg-band,SS,0.9721667298632547,0.9921637881110543,0.41546236985910956,4000,10002,0.7436564582697796,1200,0.7977243110873985,1375,0.8743899297588067,1425,0.05394691342711009,0.10405027624434177,0
reg-band,AA,0.18972368452750563,1.0,1.0,1216,10,0.16835830299931853,1200,-0.31890743330474364,11,,5,0.10344674669214965,0.2784493536761852,0
reg-flat,synth,0.9264985242686408,0.9703918214969351,0.9769195811104525,3648,2410,0.0069258455897474695,848,0.5702925762233176,1595,0.8697962418870723,1205,0.10731277403284588,0.14374820717185757,0
reg-flat,3Di,0.9607543076409172,0.9926046863910339,0.4867984367137825,3692,347,0.6706172971819399,1200,0.725668609336575,1268,0.8729026368823297,1224,0.07203774383669177,0.18016430512225787,0
reg-flat,SS,0.9736307978349139,0.991163890308295,0.4178441741105042,4000,10002,0.7898178824380951,1200,0.801946911481506,1375,0.870572986312413,1425,0.05067947094692983,0.10150946706658497,0
reg-flat,AA,0.2636082933442767,1.0,1.0,1216,10,0.2465405994179121,1200,-0.25968176711957697,11,,5,0.09882062625719479,0.2659973781772063,0
reg-soft,synth,0.9259163562855388,0.9715415201023163,0.9808111045247975,3648,2410,0.0036732830567118347,848,0.5542486772910986,1595,0.8618733474476775,1205,0.10611234969918971,0.1408553603794468,0
reg-soft,3Di,0.9562590913991094,0.9906087130962595,0.4937329927434737,3692,347,0.6061160540654326,1200,0.7138513345559998,1268,0.8628298572002329,1224,0.07005184301827302,0.1858748978311232,0
reg-soft,SS,0.9666086787152183,0.9915754045307444,0.4125231383554481,4000,10002,0.6569469984180523,1200,0.7623381259070607,1375,0.8668471613050469,1425,0.05509345410721794,0.12406045457086987,0
reg-soft,AA,0.22500243609813667,1.0,1.0,1216,10,0.20843866517085213,1200,-0.22323520331332056,11,,5,0.1051700089673481,0.2715005403463761,0
clf-pool,synth,0.9242457682815248,0.9719618929858025,0.9761111111111112,3648,2410,-0.09050873380380045,848,0.5427693529594184,1595,0.8643311176564604,1205,0.12129860255224696,0.18210036891071635,1
clf-pool,3Di,0.8948171270072978,0.9927238588574274,0.5202420215604654,3692,347,0.29290753024667765,1200,0.5650886789929614,1268,0.8725325704385151,1224,0.09563835762864599,0.2143725963904124,1
clf-pool,SS,0.9423706289608036,0.9849235905297223,0.3950769359859447,4000,10002,0.5559829434221971,1200,0.697586111830368,1375,0.8549544533312462,1425,0.10354076125527338,0.20905344521004618,1
clf-pool,AA,-4.4579696795271074e-05,0.9871180842279108,0.8,1216,10,-0.021367847998212182,1200,0.3143516128289616,11,,5,0.10720378550234919,0.3412240120268795,1
reg-band,synth,0.9230269317450057,0.965321190360128,0.9682709280115919,3648,2410,-0.06803350672665524,848,0.5703676303323687,1595,0.8641019764965291,1205,0.10773085301133314,0.1381027854648172,1
