method,dataset,spearman,auroc,map10,map10_tie_sd,rmse_high,spearman_far,spearman_mid,spearman_high,seed
Dice,3Di,0.7886494406864408,0.8253239404088231,0.23922314085096094,0.0018286710689749556,,0.7797002725871592,0.49510835014951415,0.2581549129704366,
Dice,AA,0.47390072853968335,1.0,1.0,0.0,,0.4610315181441807,0.6894977168949772,,
Dice,SS,0.6792177583767101,0.8211607724357646,0.024182041241506046,0.00042345330391292186,,0.5557998766921772,0.2805172648788687,-0.2432656277858709,
Dice,Synth,0.9826018759079657,0.9981257314063554,1.0,0.0,,0.12198886537135392,0.9365588821704771,0.9880378889644439,
ESM-2,3Di,0.6886887343231384,0.7765454605447676,0.28267948629980333,,,0.8243131979243189,0.09208061965154449,0.7076861046579155,
ESM-2,AA,0.16706295962725554,0.9988439306358381,0.8583333333333332,,,0.1534735507571137,0.05922566618516668,,
ESM-2,SS,0.875742385366696,0.9118799283454154,0.2176411284416082,,,0.7809962392993252,0.6369257109741915,0.18944611943342582,
ESM-2,Synth,0.6693955924914545,0.8405307398732598,0.5876969307778436,,,0.07524133808520077,0.24283974217395488,0.5651150912592899,
Length,3Di,0.481374871453134,0.8055098741194133,0.008182448576612843,0.00149604981190604,,-0.10688977582067763,0.31366841977448434,0.46464422296996855,
Length,AA,-0.731715838734667,0.5220478943022295,0.1,0.0,,-0.7396632709264255,-0.16400953712815386,,
Length,SS,0.6547571129283346,0.8668442753316714,0.016305644594263938,0.00032337962946692395,,-0.013088997441262882,0.44752138272700936,0.506174147052337,
Length,Synth,0.6267265632195611,0.7902033585670296,0.009907044885727459,0.0013919124370932964,,-0.3553146582364813,0.02493625140863923,0.44052203593838274,
SNNEED,3Di,0.9546423031901211,0.9923922810838159,0.5075093154100861,,0.07243056031112356,0.621441244323644,0.7108286829024548,0.8665808046438669,1.0
SNNEED,AA,0.19684561909774878,1.0,0.9566666666666667,,0.10819088297580383,0.17403839226642534,0.08807919586511968,,1.0
SNNEED,SS,0.9605191589133281,0.9857969788595922,0.40446394208287756,,0.05505456966751279,0.6885614847350006,0.7570078932601212,0.8611810157371852,1.0
SNNEED,Synth,0.9251082213009352,0.9688380553805181,0.9737757140661705,,0.11375203638829502,-0.022353852205424737,0.5675543525800685,0.8678384417215598,1.0
