method,dataset,spearman,auroc,map10,map10_tie_sd,rmse_high,n_pairs,n_queries,spearman_far,n_far,spearman_mid,n_mid,spearman_high,n_high,seed
SNNEED,Synth,0.9262416442610293,0.9710943112933388,0.976984456299809,,0.10896432937934784,3648,2410,0.0005638042687427205,848,0.5685598729037576,1595,0.8660159255273462,1205,0.0
SNNEED,3Di,0.961081370255494,0.9915833237094352,0.489386616958663,,0.07100038353151376,3699,347,0.6799275495811207,1200,0.7045647935505299,1274,0.8741887990464988,1225,0.0
SNNEED,SS,0.9662334002226429,0.9903356331706824,0.41169032855371474,,0.05032566415294117,4000,10002,0.6796970402623708,1200,0.7943583125491446,1397,0.8708949019414748,1403,0.0
SNNEED,AA,0.25478105495906306,1.0,1.0,,0.10194856994362186,1216,10,0.23740967247875808,1200,-0.350798176635218,11,,5,0.0
SNNEED,Synth,0.9243239674923245,0.9677211373676675,0.9749036751630111,,0.112722831148151,3648,2410,-0.06547469668276486,848,0.5677951262727283,1595,0.8651584698211984,1205,1.0
SNNEED,3Di,0.9375167959310027,0.9925593519542013,0.4892745397870964,,0.06617171514077451,3699,347,0.5116305194734678,1200,0.6600977770389337,1274,0.855900998505507,1225,1.0
SNNEED,SS,0.9631390290638593,0.9908107139357848,0.4177472074872,,0.053732501326901196,4000,10002,0.6692146761515563,1200,0.7781211370617495,1397,0.87279038117793,1403,1.0
SNNEED,AA,0.14634464954583196,1.0,0.9199999999999999,,0.11630805917124899,1216,10,0.11923670195439987,1200,0.3826889199656924,11,,5,1.0
SNNEED,Synth,0.9247590521494519,0.9676987174805483,0.9694390107356912,,0.11956894863738625,3648,2410,-0.0021506642022520784,848,0.5663080585637195,1595,0.8723409298161348,1205,2.0
SNNEED,3Di,0.9653287433838668,0.9930341675878112,0.5438667894844992,,0.08011958226108244,3699,347,0.6727656639163435,1200,0.7678234781179011,1274,0.8696526163795948,1225,2.0
SNNEED,SS,0.9521850474534821,0.9762445894723091,0.3839542902077181,,0.06110554352269601,4000,10002,0.7167727377910748,1200,0.6985442301694695,1397,0.8398577640921508,1403,2.0
SNNEED,AA,0.18941115278835138,1.0,0.95,,0.10631601981254066,1216,10,0.16546880236611802,1200,0.23234684426488467,11,,5,2.0
ESM-2,Synth,0.6693955924914545,0.8405307398732598,0.5876969307778436,,,3648,2410,0.07524133808520077,848,0.24283974217395488,1595,0.5651150912592899,1205,
ESM-2,3Di,0.6886887343231384,0.7765454605447676,0.28267948629980333,,,3699,347,0.8243131979243189,1200,0.09208061965154449,1274,0.7076861046579155,1225,
ESM-2,SS,0.875742385366696,0.9118799283454154,0.2176411284416082,,,4000,10002,0.7809962392993252,1200,0.6369257109741915,1397,0.18944611943342582,1403,
ESM-2,AA,0.16706295962725554,0.9988439306358381,0.8583333333333332,,,1216,10,0.1534735507571137,1200,0.05922566618516668,11,,5,
Dice,Synth,0.9826018759079657,0.9981257314063554,1.0,0.0,,3648,2410,0.12198886537135392,848,0.9365588821704771,1595,0.9880378889644439,1205,
Dice,3Di,0.7886494406864408,0.8253239404088231,0.23922314085096094,0.0018286710689749556,,3699,347,0.7797002725871592,1200,0.49510835014951415,1274,0.2581549129704366,1225,
Dice,SS,0.6792177583767101,0.8211607724357646,0.024182041241506046,0.00042345330391292186,,4000,10002,0.5557998766921772,1200,0.2805172648788687,1397,-0.2432656277858709,1403,
Dice,AA,0.47390072853968335,1.0,1.0,0.0,,1216,10,0.4610315181441807,1200,0.6894977168949772,11,,5,
Length,Synth,0.6267265632195611,0.7902033585670296,0.009907044885727459,0.0013919124370932964,,3648,2410,-0.3553146582364813,848,0.02493625140863923,1595,0.44052203593838274,1205,
Length,3Di,0.481374871453134,0.8055098741194133,0.008182448576612843,0.00149604981190604,,3699,347,-0.10688977582067763,1200,0.31366841977448434,1274,0.46464422296996855,1225,
Length,SS,0.6547571129283346,0.8668442753316714,0.016305644594263938,0.00032337962946692395,,4000,10002,-0.013088997441262882,1200,0.44752138272700936,1397,0.506174147052337,1403,
Length,AA,-0.731715838734667,0.5220478943022295,0.1,0.0,,1216,10,-0.7396632709264255,1200,-0.16400953712815386,11,,5,
