arm,config,seed,dataset,protocol_sig,spearman,auroc,map10,rmse_high,n_pairs,n_queries,spearman_far,n_far,spearman_mid,n_mid,spearman_high,n_high,n_train,epochs,n_steps,n_params,train_loss_online,train_mse_final
0-baseline,K=16,0,Synth,v2|K16|len50-200|bs128|lr0.001|ntrain30000|ep30|pair999|syn20260810|strat200000x400|rng0.3-0.7,0.9240119653615294,0.971387468302186,0.9734237304880458,0.11773024111806268,3648.0,2410.0,-0.03576592804037224,848.0,0.5630139231255605,1595.0,0.8638227234755568,1205.0,30000.0,30.0,7050.0,141184.0,0.002490165464828412,0.002049886663754781
0-baseline,K=16,0,3Di,v2|K16|len50-200|bs128|lr0.001|ntrain30000|ep30|pair999|syn20260810|strat200000x400|rng0.3-0.7,0.9606458532195332,0.9917549040634848,0.49266063341763217,0.06836467980521668,3699.0,347.0,0.6927313878795404,1200.0,0.713333839914476,1274.0,0.8881930208819006,1225.0,30000.0,30.0,7050.0,141184.0,0.002490165464828412,0.002049886663754781
0-baseline,K=16,0,SS,v2|K16|len50-200|bs128|lr0.001|ntrain30000|ep30|pair999|syn20260810|strat200000x400|rng0.3-0.7,0.9718392205601852,0.9923674199436764,0.42793457120178385,0.06039609031357644,4000.0,10002.0,0.7550252204147645,1200.0,0.8101371178983393,1397.0,0.8561344552999265,1403.0,30000.0,30.0,7050.0,141184.0,0.002490165464828412,0.002049886663754781
0-baseline,K=16,0,AA,v2|K16|len50-200|bs128|lr0.001|ntrain30000|ep30|pair999|syn20260810|strat200000x400|rng0.3-0.7,0.20891569950566322,1.0,0.8533333333333333,0.122259787316949,1216.0,10.0,0.19280418511369316,1200.0,,11.0,,5.0,30000.0,30.0,7050.0,141184.0,0.002490165464828412,0.002049886663754781
0-baseline,K=16,1,Synth,v2|K16|len50-200|bs128|lr0.001|ntrain30000|ep30|pair999|syn20260810|strat200000x400|rng0.3-0.7,0.9253855869283213,0.9686444290826698,0.9783661002436936,0.11783325457810594,3648.0,2410.0,-0.10414499253946155,848.0,0.5827668285055482,1595.0,0.8650982194502347,1205.0,30000.0,30.0,7050.0,141184.0,0.0025673175478974977,0.002153002430995305
0-baseline,K=16,1,3Di,v2|K16|len50-200|bs128|lr0.001|ntrain30000|ep30|pair999|syn20260810|strat200000x400|rng0.3-0.7,0.9435155265501861,0.9918849091778992,0.4852832797117139,0.06559899113765959,3699.0,347.0,0.5514990400702809,1200.0,0.6593525324892962,1274.0,0.8496199252124831,1225.0,30000.0,30.0,7050.0,141184.0,0.0025673175478974977,0.002153002430995305
0-baseline,K=16,1,SS,v2|K16|len50-200|bs128|lr0.001|ntrain30000|ep30|pair999|syn20260810|strat200000x400|rng0.3-0.7,0.9670429946606169,0.9899758233017921,0.41708636445739317,0.05251184763915914,4000.0,10002.0,0.7049970395933552,1200.0,0.784518486888081,1397.0,0.8612470058002322,1403.0,30000.0,30.0,7050.0,141184.0,0.0025673175478974977,0.002153002430995305
0-baseline,K=16,1,AA,v2|K16|len50-200|bs128|lr0.001|ntrain30000|ep30|pair999|syn20260810|strat200000x400|rng0.3-0.7,0.17343145552175604,0.9996696944673823,0.7525000000000001,0.1535286395808732,1216.0,10.0,0.15053329137702645,1200.0,,11.0,,5.0,30000.0,30.0,7050.0,141184.0,0.0025673175478974977,0.002153002430995305
0-baseline,K=16,2,Synth,v2|K16|len50-200|bs128|lr0.001|ntrain30000|ep30|pair999|syn20260810|strat200000x400|rng0.3-0.7,0.9252956536457099,0.9673980871759944,0.972552690509122,0.11348113204329681,3648.0,2410.0,-0.06983385091382355,848.0,0.5836465325157898,1595.0,0.8684475174189892,1205.0,30000.0,30.0,7050.0,141184.0,0.002560005959371726,0.002109888474146525
0-baseline,K=16,2,3Di,v2|K16|len50-200|bs128|lr0.001|ntrain30000|ep30|pair999|syn20260810|strat200000x400|rng0.3-0.7,0.9602467430259188,0.9905089667233101,0.5389770977234954,0.06788724928353941,3699.0,347.0,0.5829320797407067,1200.0,0.7452678425936698,1274.0,0.8625577629396597,1225.0,30000.0,30.0,7050.0,141184.0,0.002560005959371726,0.002109888474146525
